subjID	participant	shift	activity	explosion	pumps	trial
01D11	01	D1	1	1	17	1
01D11	01	D1	1	1	26	2
01D11	01	D1	1	0	64	3
01D11	01	D1	1	1	20	4
01D11	01	D1	1	1	12	5
01D11	01	D1	1	0	64	6
01D11	01	D1	1	1	3	7
01D11	01	D1	1	1	45	8
01D11	01	D1	1	1	11	9
01D11	01	D1	1	1	46	10
01D11	01	D1	1	1	42	11
01D11	01	D1	1	1	33	12
01D11	01	D1	1	0	64	13
01D11	01	D1	1	0	64	14
01D11	01	D1	1	1	12	15
01D11	01	D1	1	1	12	16
01D11	01	D1	1	1	17	17
01D11	01	D1	1	0	64	18
01D11	01	D1	1	1	57	19
01D11	01	D1	1	0	64	20
01D11	01	D1	1	1	5	21
01D11	01	D1	1	1	36	22
01D11	01	D1	1	1	33	23
01D11	01	D1	1	0	64	24
01D11	01	D1	1	0	64	25
01D11	01	D1	1	1	20	26
01D11	01	D1	1	0	64	27
01D11	01	D1	1	1	35	28
01D11	01	D1	1	1	27	29
01D11	01	D1	1	1	36	30
01D12	01	D1	2	0	80	1
01D12	01	D1	2	1	25	2
01D12	01	D1	2	1	37	3
01D12	01	D1	2	0	85	4
01D12	01	D1	2	0	95	5
01D12	01	D1	2	0	85	6
01D12	01	D1	2	1	7	7
01D12	01	D1	2	1	82	8
01D12	01	D1	2	0	80	9
01D12	01	D1	2	0	85	10
01D12	01	D1	2	1	71	11
01D12	01	D1	2	1	75	12
01D12	01	D1	2	1	69	13
01D12	01	D1	2	1	60	14
01D12	01	D1	2	1	41	15
01D12	01	D1	2	1	62	16
01D12	01	D1	2	1	42	17
01D12	01	D1	2	1	77	18
01D12	01	D1	2	0	75	19
01D12	01	D1	2	1	30	20
01D12	01	D1	2	0	75	21
01D12	01	D1	2	1	21	22
01D12	01	D1	2	1	57	23
01D12	01	D1	2	0	75	24
01D12	01	D1	2	0	75	25
01D12	01	D1	2	1	71	26
01D12	01	D1	2	0	85	27
01D12	01	D1	2	1	45	28
01D12	01	D1	2	0	85	29
01D12	01	D1	2	1	45	30
01D21	01	D2	1	0	70	1
01D21	01	D2	1	1	30	2
01D21	01	D2	1	0	70	3
01D21	01	D2	1	0	70	4
01D21	01	D2	1	1	47	5
01D21	01	D2	1	1	20	6
01D21	01	D2	1	1	48	7
01D21	01	D2	1	1	63	8
01D21	01	D2	1	1	32	9
01D21	01	D2	1	1	21	10
01D21	01	D2	1	1	37	11
01D21	01	D2	1	1	3	12
01D21	01	D2	1	1	81	13
01D21	01	D2	1	1	24	14
01D21	01	D2	1	1	46	15
01D21	01	D2	1	1	9	16
01D21	01	D2	1	0	80	17
01D21	01	D2	1	1	7	18
01D21	01	D2	1	1	72	19
01D21	01	D2	1	1	26	20
01D21	01	D2	1	1	54	21
01D21	01	D2	1	0	70	22
01D21	01	D2	1	0	70	23
01D21	01	D2	1	1	55	24
01D21	01	D2	1	1	22	25
01D21	01	D2	1	1	19	26
01D21	01	D2	1	0	70	27
01D21	01	D2	1	1	5	28
01D21	01	D2	1	0	70	29
01D21	01	D2	1	0	70	30
01D22	01	D2	2	1	45	1
01D22	01	D2	2	0	74	2
01D22	01	D2	2	1	58	3
01D22	01	D2	2	0	74	4
01D22	01	D2	2	1	20	5
01D22	01	D2	2	1	13	6
01D22	01	D2	2	0	74	7
01D22	01	D2	2	1	28	8
01D22	01	D2	2	0	89	9
01D22	01	D2	2	1	60	10
01D22	01	D2	2	1	69	11
01D22	01	D2	2	1	21	12
01D22	01	D2	2	0	89	13
01D22	01	D2	2	1	33	14
01D22	01	D2	2	1	8	15
01D22	01	D2	2	1	89	16
01D22	01	D2	2	0	89	17
01D22	01	D2	2	1	57	18
01D22	01	D2	2	0	89	19
01D22	01	D2	2	1	7	20
01D22	01	D2	2	1	44	21
01D22	01	D2	2	1	13	22
01D22	01	D2	2	0	89	23
01D22	01	D2	2	1	76	24
01D22	01	D2	2	1	50	25
01D22	01	D2	2	0	89	26
01D22	01	D2	2	1	80	27
01D22	01	D2	2	0	89	28
01D22	01	D2	2	1	70	29
01D22	01	D2	2	1	82	30
01N11	01	N1	1	1	52	1
01N11	01	N1	1	0	84	2
01N11	01	N1	1	1	64	3
01N11	01	N1	1	1	27	4
01N11	01	N1	1	1	81	5
01N11	01	N1	1	1	74	6
01N11	01	N1	1	0	80	7
01N11	01	N1	1	1	80	8
01N11	01	N1	1	1	70	9
01N11	01	N1	1	1	38	10
01N11	01	N1	1	0	84	11
01N11	01	N1	1	1	9	12
01N11	01	N1	1	1	5	13
01N11	01	N1	1	1	64	14
01N11	01	N1	1	1	69	15
01N11	01	N1	1	1	51	16
01N11	01	N1	1	1	71	17
01N11	01	N1	1	1	61	18
01N11	01	N1	1	1	30	19
01N11	01	N1	1	1	65	20
01N11	01	N1	1	0	70	21
01N11	01	N1	1	1	62	22
01N11	01	N1	1	1	58	23
01N11	01	N1	1	1	54	24
01N11	01	N1	1	1	63	25
01N11	01	N1	1	1	38	26
01N11	01	N1	1	0	95	27
01N11	01	N1	1	1	3	28
01N11	01	N1	1	0	90	29
01N11	01	N1	1	0	95	30
01N12	01	N1	2	0	70	1
01N12	01	N1	2	0	70	2
01N12	01	N1	2	0	70	3
01N12	01	N1	2	1	32	4
01N12	01	N1	2	0	70	5
01N12	01	N1	2	0	70	6
01N12	01	N1	2	0	70	7
01N12	01	N1	2	0	80	8
01N12	01	N1	2	0	70	9
01N12	01	N1	2	1	20	10
01N12	01	N1	2	0	70	11
01N12	01	N1	2	1	69	12
01N12	01	N1	2	0	70	13
01N12	01	N1	2	1	51	14
01N12	01	N1	2	0	80	15
01N12	01	N1	2	0	80	16
01N12	01	N1	2	1	40	17
01N12	01	N1	2	1	48	18
01N12	01	N1	2	0	80	19
01N12	01	N1	2	1	50	20
01N12	01	N1	2	0	80	21
01N12	01	N1	2	0	80	22
01N12	01	N1	2	1	31	23
01N12	01	N1	2	0	80	24
01N12	01	N1	2	1	21	25
01N12	01	N1	2	0	80	26
01N12	01	N1	2	1	27	27
01N12	01	N1	2	1	54	28
01N12	01	N1	2	1	18	29
01N12	01	N1	2	0	80	30
01N21	01	N2	1	1	25	1
01N21	01	N2	1	1	44	2
01N21	01	N2	1	1	74	3
01N21	01	N2	1	1	46	4
01N21	01	N2	1	1	22	5
01N21	01	N2	1	1	34	6
01N21	01	N2	1	0	69	7
01N21	01	N2	1	0	69	8
01N21	01	N2	1	1	46	9
01N21	01	N2	1	1	63	10
01N21	01	N2	1	1	20	11
01N21	01	N2	1	0	69	12
01N21	01	N2	1	1	69	13
01N21	01	N2	1	0	69	14
01N21	01	N2	1	1	10	15
01N21	01	N2	1	0	70	16
01N21	01	N2	1	0	85	17
01N21	01	N2	1	0	85	18
01N21	01	N2	1	1	31	19
01N21	01	N2	1	1	60	20
01N21	01	N2	1	0	80	21
01N21	01	N2	1	1	44	22
01N21	01	N2	1	1	10	23
01N21	01	N2	1	0	80	24
01N21	01	N2	1	1	37	25
01N21	01	N2	1	1	58	26
01N21	01	N2	1	1	38	27
01N21	01	N2	1	0	80	28
01N21	01	N2	1	1	48	29
01N21	01	N2	1	0	80	30
01N22	01	N2	2	1	57	1
01N22	01	N2	2	1	25	2
01N22	01	N2	2	0	69	3
01N22	01	N2	2	0	69	4
01N22	01	N2	2	0	69	5
01N22	01	N2	2	1	11	6
